isqno,war,name,locn,campgn,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,is_hero,war2,war3,war4,war4_theater,dbpedia,cow_warno,cow_warname,war_initiator,parent
134,THE NAPOLEONIC WARS,BORODINO,RUSSIA,RUSSIA 1812,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,2.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1,"WAR WITH RUSSIA, 1812",THE NAPOLEONIC WARS,French Invasion of Russia of 1812,,http://dbpedia.org/resource/Battle_of_Borodino,,,1,
135,THE NAPOLEONIC WARS,LUETZEN,SAXONY,LEIPZIG 1813,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,Favors neither side,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,clear cut,1.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Lützen_(1813),,,0,
136,THE NAPOLEONIC WARS,BAUTZEN,SAXONY,LEIPZIG 1813,A combination posture involving two distinct/separate postures,HD,PD,1.0,1.0,1.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,10.0,clear cut,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Bautzen,,,1,
137,THE NAPOLEONIC WARS,DRESDEN,SAXONY,LEIPZIG 1813,A combination posture involving two distinct/separate postures,HD,PD,1.0,1.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,,0.0,0.0,,,clear cut,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Dresden,,,0,
138,THE NAPOLEONIC WARS,LEIPZIG,SAXONY,LEIPZIG 1813,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,Favors neither side,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,attacker win,12.0,clear cut,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Leipzig,,,0,
139,THE NAPOLEONIC WARS,HANAU,HESSE,LEIPZIG 1813,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,attacker win,4.0,clear cut,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Hanau,,,1,
140,THE NAPOLEONIC WARS,LA ROTHIERE,FRANCE,DEFENSE OF FRANCE,An average or intermixture of two or more postures,HD,PD,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,Favors neither side,,1.0,1.0,0.0,1.0,2.0,0.0,1.0,attacker win,1.0,clear cut,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,,0.0,1,"DEFENSE OF FANCE, 1814",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_La_Rothière,,,0,
141,THE NAPOLEONIC WARS,LAON,FRANCE,DEFENSE OF FRANCE,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,,Favors neither side,0.0,,0.0,,0.0,,0.0,0.0,,0.0,clear cut,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,"DEFENSE OF FANCE, 1814",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Laon,,,1,
142,THE NAPOLEONIC WARS,ARCIS-SUR-AUBE,FRANCE,DEFENSE OF FRANCE,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,attacker win,1.0,not clear cut,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"DEFENSE OF FANCE, 1814",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,http://dbpedia.org/resource/Battle_of_Arcis-sur-Aube,,,0,
143,THE NAPOLEONIC WARS,LIGNY,BELGIUM,THE HUNDRED DAYS,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,attacker win,1.0,clear cut,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"THE HUNDRED DAYS, 1815",THE NAPOLEONIC WARS,Hundred Days of 1814,,http://dbpedia.org/resource/Battle_of_Ligny,,,1,
144,THE NAPOLEONIC WARS,QUATRE BRAS,BELGIUM,THE HUNDRED DAYS,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,"THE HUNDRED DAYS, 1815",THE NAPOLEONIC WARS,Hundred Days of 1814,,http://dbpedia.org/resource/Battle_of_Quatre_Bras,,,1,
145,THE NAPOLEONIC WARS,WATERLOO,BELGIUM,THE HUNDRED DAYS,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,,Favors neither side,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,,,clear cut,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,1,"THE HUNDRED DAYS, 1815",THE NAPOLEONIC WARS,Hundred Days of 1814,,http://dbpedia.org/resource/Battle_of_Waterloo,,,1,
146,WAR OF 1812,THE THAMES,CANADA,NORTHWESTERN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.2,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,http://dbpedia.org/resource/Battle_of_the_Thames,,,1,
147,WAR OF 1812,CHIPPEWA,CANADA,NORTHERN 1812,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,http://dbpedia.org/resource/Battle_of_Chippawa,,,0,
148,WAR OF 1812,LUNDY'S LANE,CANADA,NORTHERN 1812,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,not clear cut,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,http://dbpedia.org/resource/Battle_of_Lundy%27s_Lane,,,1,
149,WAR OF 1812,NEW ORLEANS,LOUISIANA,NEW ORLEANS,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,1,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,http://dbpedia.org/resource/Battle_of_New_Orleans,,,0,
150,LATIN AMERICAN WARS OF INDEPENDENCE,BOYACA,COLUMBIA,BOYACA,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.5,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,First Bolivar Expedition of 1817-1819,,http://dbpedia.org/resource/Battle_of_Boyacá,303.0,First Bolivar Expedition of 1817-1819,0,
151,LATIN AMERICAN WARS OF INDEPENDENCE,CARABOBO,VENEZUELA,CARABOBO,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,2.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,http://dbpedia.org/resource/Battle_of_Carabobo,308.0,Second Bolivar Expedition of 1821-1822,0,
152,LATIN AMERICAN WARS OF INDEPENDENCE,BOMBONA,QUITO,BOMBONA,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.5,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,,308.0,Second Bolivar Expedition of 1821-1822,0,
153,LATIN AMERICAN WARS OF INDEPENDENCE,PICHINCHA,QUITO,PICHINCHA,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,http://dbpedia.org/resource/Battle_of_Pichincha,308.0,Second Bolivar Expedition of 1821-1822,1,
154,LATIN AMERICAN WARS OF INDEPENDENCE,JUNIN,PERU,JUNIN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.3,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Liberation of Peru of 1824-1825,,http://dbpedia.org/resource/Battle_of_Junín,312.0,Liberation of Peru of 1824-1825,0,
155,LATIN AMERICAN WARS OF INDEPENDENCE,AYACUCHO,PERU,AYACHUCHO,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Liberation of Peru of 1824-1825,,http://dbpedia.org/resource/Battle_of_Ayacucho,312.0,Liberation of Peru of 1824-1825,1,
156,WAR OF TEXAN INDEPENDENCE,SAN JACINTO,TEXAS,TEXAS 1836,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Complete surprise achieved by attacker,Somwhat favors the attacker,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,0.3,clear cut,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,WAR OF TEXAN INDEPENDENCE,WAR OF TEXAN INDEPENDENCE,Texan War of 1835-1836,,http://dbpedia.org/resource/Battle_of_San_Jacinto,527.0,Texan War of 1835-1836,1,
157,US-MEXICAN WAR,PALO ALTO,TEXAS,NORTHERN MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.8,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Palo_Alto,7.0,Mexican-American War of 1846-1847,1,
158,US-MEXICAN WAR,RESACA DE LA PALMA,TEXAS,NORTHERN MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,attacker win,2.7,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Resaca_de_la_Palma,7.0,Mexican-American War of 1846-1847,1,
159,US-MEXICAN WAR,BUENA VISTA,MEXICO,NORTHERN MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,clear cut,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Buena_Vista,7.0,Mexican-American War of 1846-1847,0,
160,US-MEXICAN WAR,CERRO GORDO,MEXICO,CENTRAL MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Somwhat favors the attacker,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,6.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Cerro_Gordo,7.0,Mexican-American War of 1846-1847,1,
161,US-MEXICAN WAR,CONTRERAS,MEXICO,CENTRAL MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,1.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Contreras,7.0,Mexican-American War of 1846-1847,1,
162,US-MEXICAN WAR,CHURUBUSCO,MEXICO,CENTRAL MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,attacker win,11.2,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Churubusco,7.0,Mexican-American War of 1846-1847,1,
163,US-MEXICAN WAR,MOLINO DEL REY,MEXICO,CENTRAL MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,attacker win,0.8,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Molino_del_Rey,7.0,Mexican-American War of 1846-1847,1,
164,US-MEXICAN WAR,CHAPULTEPEC,MEXICO,CENTRAL MEXICAN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",FD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,attacker win,4.5,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,1,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,http://dbpedia.org/resource/Battle_of_Chapultepec,7.0,Mexican-American War of 1846-1847,1,
165,CRIMEAN WAR,THE ALMA,THE CRIMEA,SEBASTOPOL,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,3.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,CRIMEAN WAR,CRIMEAN WAR,Crimean War of 1853-1856,,http://dbpedia.org/resource/Battle_of_Alma,22.0,Crimean War of 1853-1856,1,
166,CRIMEAN WAR,INKERMAN,THE CRIMEA,SEBASTOPOL,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,clear cut,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1,CRIMEAN WAR,CRIMEAN WAR,Crimean War of 1853-1856,,http://dbpedia.org/resource/Battle_of_Inkerman,22.0,Crimean War of 1853-1856,0,
167,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,MAGENTA,LOMBARDY,LOMBARDY 1859,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,War of Italian Unification of 1859,,http://dbpedia.org/resource/Battle_of_Magenta,28.0,War of Italian Unification of 1859,0,
168,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,SOLFERINO,LOMBARDY,LOMBARDY 1859,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,3.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,War of Italian Unification of 1859,,http://dbpedia.org/resource/Battle_of_Solferino,28.0,War of Italian Unification of 1859,0,
169,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,SADOWA (KOENIGGRATZ),AUSTRIA,BOHEMIA 1866,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,9.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,Seven Weeks War of 1866,,http://dbpedia.org/resource/Battle_of_Königgrätz,55.0,Seven Weeks War of 1866,0,
170,AUSTRO-ITALIAN WAR,CUSTOZZA II,VENETIA,VENETIA 1866,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,AUSTRO-ITALIAN WAR,AUSTRO-ITALIAN WAR,Seven Weeks War of 1866,,http://dbpedia.org/resource/Battle_of_Custoza_(1866),55.0,Seven Weeks War of 1866,0,
171,AMERICAN CIVIL WAR,FIRST BULL RUN (MANASSAS),VIRGINIA,FIRST BULL RUN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,clear cut,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,http://dbpedia.org/resource/First_Battle_of_Bull_Run,572.0,U.S. Civil War of 1861-1865,0,
172,AMERICAN CIVIL WAR,WILSON'S CREEK,MISSOURI,MISSOURI 1861,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,clear cut,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,http://dbpedia.org/resource/Battle_of_Wilson%27s_Creek,572.0,U.S. Civil War of 1861-1865,0,
173,AMERICAN CIVIL WAR,BELMONT,MISSOURI,MISSOURI 1861,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,0.0,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,http://dbpedia.org/resource/Battle_of_Belmont,572.0,U.S. Civil War of 1861-1865,0,
174,AMERICAN CIVIL WAR,MILL SPRINGS,KENTUCKY,KENTUCKY 1862,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,http://dbpedia.org/resource/Battle_of_Mill_Springs,572.0,U.S. Civil War of 1861-1865,1,
175,AMERICAN CIVIL WAR,FORT DONELSON,TENNESSEE,HENRY AND DONELSON,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,http://dbpedia.org/resource/Battle_of_Fort_Donelson,572.0,U.S. Civil War of 1861-1865,1,
176,AMERICAN CIVIL WAR,PEA RIDGE,MISSOURI,MISSOURI 1862,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,http://dbpedia.org/resource/Battle_of_Pea_Ridge,572.0,U.S. Civil War of 1861-1865,1,
